,u-g,ecc,petroR50_u,class
117,2.2761000000000013,0.5454367,6.296986,merger
477,1.750119999999999,0.6605056,4.021556,elliptical
607,1.019830000000001,0.9498755,10.18588,spiral
99,1.59638,0.7398738,0.8510016,merger
391,1.8940499999999985,0.887113,3.6576,elliptical
773,1.1903199999999998,0.5499746,5.353786,spiral
80,1.5055200000000006,0.5305781,2.014726,merger
108,0.9806499999999988,0.7253567,3.490461,merger
744,1.0696100000000008,0.7884839,7.001053,spiral
543,1.0172500000000009,0.6651152,5.419548,spiral
226,1.716139999999999,0.3622358,3.857627,merger
505,2.01277,0.9284973,1.531844,elliptical
343,1.9267299999999992,0.9951518,4.381024,elliptical
430,1.8788300000000009,0.6822491,6.011673,elliptical
300,1.8879599999999976,0.7790375,5.200251,elliptical
60,0.7546199999999992,0.5717658,3.091,merger
542,0.8874500000000012,0.5667677,5.229407,spiral
451,2.083500000000001,0.6418902,1.848077,elliptical
758,1.704909999999998,0.6485063,5.601986,spiral
210,1.3146099999999985,0.9037459,1.283553,merger
412,2.004579999999999,0.635923,6.066125,elliptical
509,1.9838899999999988,0.7250926,11.17526,elliptical
241,2.2149800000000006,0.5877541,1.678342,merger
567,1.1443099999999973,0.8089061,7.13718,spiral
711,1.2925000000000004,0.7824368,9.986281,spiral
731,1.12434,0.7808937,3.557413,spiral
131,1.4107599999999998,0.6635138,2.606198,merger
22,1.8682800000000004,0.3291647,4.255091,merger
714,1.3492699999999989,0.8999009,8.084057,spiral
698,1.623339999999999,0.6556509,6.402635,spiral
616,1.0818999999999974,0.5524524,4.156546,spiral
500,1.8081999999999996,0.8960876,3.605328,elliptical
270,1.98799,0.8673887,2.621158,elliptical
207,1.0767200000000017,0.250009,4.752891,merger
670,1.49681,0.9498834,4.791723,spiral
436,2.273540000000001,0.908551,4.045015,elliptical
8,1.567209999999999,0.7385322,6.974425,merger
329,1.85352,0.8529811,4.01271,elliptical
693,1.2133599999999998,0.9460923,7.260369,spiral
736,1.299900000000001,0.9232726,4.215,spiral
73,1.6646099999999997,0.3416949,3.785553,merger
91,1.939619999999998,0.3542852,1.715849,merger
443,2.00873,0.8451557,3.648154,elliptical
55,1.4234299999999998,0.6776156,1.602833,merger
671,1.4173299999999998,0.6104109,9.176867,spiral
531,1.33324,0.7958828,8.72052,spiral
626,1.2181599999999977,0.670014,4.680155,spiral
268,2.063129999999997,0.8250995,10.01105,elliptical
705,1.5274900000000002,0.6877236,10.90895,spiral
306,1.9844200000000016,0.8100416,7.177966,elliptical
440,1.9218200000000003,0.9452648,4.494418,elliptical
165,2.1003100000000003,0.6203912,4.752165,merger
7,1.51422,0.5279154,10.08658,merger
219,2.0718,0.8844816,2.191089,merger
326,1.9787099999999995,0.717513,9.759504,elliptical
